Data da Homologação,Número de Homologação,Nome do Solicitante,CNPJ do Solicitante,Certificado de Conformidade Técnica,Data do Certificado de Conformidade Técnica,Data de Validade do Certificado,Código de Situação do Certificado,Situação do Certificado,Código de Situação do Requerimento,Situação do Requerimento,Nome do Fabricante,Modelo,Nome Comercial,Categoria do Produto,Tipo do Produto,IC_ANTENA,IC_ATIVO,País do Fabricante,CodUIT,CodISO
09/03/2024,68901801699,MOTOROLA SOLUTIONS LTDA,10652730000120,NCC 16648/19,22/01/2019,22/01/2026 00:00:00,2,Preenchimento Concluído,6,Homologação Emitida,"Motorola Solutions, Inc.",LEX L11a,LEX L11,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
23/10/2019,69191800330,MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA,1472720000112,112534,25/10/2018,25/10/2020 00:00:00,6,Suspenso,10,Homologação Suspensa,Motorola Mobility LLC,XT1965-2,Moto g7 Plus,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
09/09/2019,31501901003,LG ELECTRONICS DO BRASIL LTDA,1166372000155,116251,22/04/2019,22/04/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,LG ELECTRONICS DO BRASIL LTDA,LM-X120BMW,LG K8+,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
08/07/2019,36221909185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,116469,26/06/2019,26/06/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",Mi 9 SE,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
31/10/2019,61851800953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,6441,04/10/2018,04/10/2020 00:00:00,6,Suspenso,10,Homologação Suspensa,Samsung Electronics Co Ltd.,SM-A920X,,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
14/04/2020,74351811836,SEMP TCL MOBILIDADE LTDA.,8649664000198,112933,05/02/2019,05/02/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,SEMP TCL MOBILIDADE LTDA.,GO1l,,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
01/09/2014,3121407841,Companhia Brasileira de Tecnologia Digital S.A,10362905000165,MT-2738/2014,14/07/2014,14/07/2015 00:00:00,6,Suspenso,10,Homologação Suspensa,Companhia Brasileira de Tecnologia Digital S.A,C90,C90,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
01/09/2014,3121407841,Companhia Brasileira de Tecnologia Digital S.A,10362905000165,MT-2738/2014,14/07/2014,14/07/2015 00:00:00,6,Suspenso,10,Homologação Suspensa,Companhia Brasileira de Tecnologia Digital S.A,C91,C91,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
30/09/2011,20051105404,SEMP TCL MOBILIDADE LTDA.,8649664000198,05515/11,16/09/2011,16/09/2013 00:00:00,6,Suspenso,10,Homologação Suspensa,TCT MOBILE INTERNATIONAL LIMITED,One Touch 819D,One Touch 819D,1,Telefone Móvel Celular,N,S,China,CHN,CHN
03/09/2019,41311803589,POSITIVO TECNOLOGIA S.A.,81243735000148,110307,20/07/2018,20/07/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,POSITIVO TECNOLOGIA S.A.,QC84,Quantum L,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
